autoincrement5 ;shot_id     ;minute ;result      ;X                      ;Y                       ;xG                    ;player                    ;h_a ;player_id ;situation      ;season ;shotType      ;match_id ;h_team              ;a_team              ;h_goals ;a_goals ;date                ;player_assisted           ;lastAction
             0 ; 32412 ;    10 ;MissedShots ;765                    ;  0.38                  ;0.02256239950656891   ;Sergi Darder              ;h   ;     2621 ;OpenPlay       ;  2014 ;RightFoot     ;    5826 ;Malaga              ;Athletic Club       ;      1 ;      0 ;2014-08-23 18:00:00 ;Ricardo Horta             ;Pass
             1 ; 32414 ;    16 ;BlockedShot ;  0.9530000305175781   ;  0.4370000076293945    ;0.11595200002193451   ;Juanmi                    ;h   ;      897 ;OpenPlay       ;  2014 ;RightFoot     ;    5826 ;Malaga              ;Athletic Club       ;      1 ;      0 ;2014-08-23 18:00:00 ;                          ;None
             2 ; 32415 ;    17 ;BlockedShot ;805                    ;725                     ;0.012672900222241879  ;Ricardo Horta             ;h   ;     2338 ;FromCorner     ;  2014 ;RightFoot     ;    5826 ;Malaga              ;Athletic Club       ;      1 ;      0 ;2014-08-23 18:00:00 ;Roque Santa Cruz          ;HeadPass
             3 ; 32416 ;    18 ;MissedShots ;  0.875999984741211    ;  0.2520000076293945    ;0.02769250050187111   ;Ricardo Horta             ;h   ;     2338 ;OpenPlay       ;  2014 ;RightFoot     ;    5826 ;Malaga              ;Athletic Club       ;      1 ;      0 ;2014-08-23 18:00:00 ;Juanmi                    ;Pass
             4 ; 32418 ;    29 ;MissedShots ;  0.8319999694824218   ;  0.69                  ;0.034855298697948456  ;Ricardo Horta             ;h   ;     2338 ;OpenPlay       ;  2014 ;RightFoot     ;    5826 ;Malaga              ;Athletic Club       ;      1 ;      0 ;2014-08-23 18:00:00 ;Luis Alberto              ;Pass
