autoincrement3 ,player_id    ,player_name               ,games ,time ,goals ,xG                     ,assists ,xA                     ,shots ,key_passes ,yellow_cards ,red_cards ,position ,team_title                          ,npg ,npxG                   ,xGChain                ,xGBuildup              ,year
             0 , 2371 ,Cristiano Ronaldo         ,   35 ,3103 ,   48 ,39.30874598119408      ,     16 ,13.600629400461912     ,  225 ,        76 ,           5 ,        1 ,F M      ,Real Madrid                         , 38 ,30.38968110177666      ,43.60805014614016      , 7.520235439762473     ,2014
             1 , 2097 ,Lionel Messi              ,   38 ,3374 ,   43 ,35.89176997169852      ,     18 ,17.61194877512753      ,  187 ,        95 ,           4 ,        0 ,F S      ,Barcelona                           , 38 ,31.432101871818304     ,54.75358371436596      ,19.756728649139404     ,2014
             2 , 2099 ,Neymar                    ,   33 ,2573 ,   22 ,22.72161516547203      ,      7 , 8.261538552120328     ,   95 ,        52 ,           6 ,        0 ,F S      ,Barcelona                           , 21 ,21.978335231542587     ,36.88821509107947      ,11.678398191928864     ,2014
             3 , 2270 ,Antoine Griezmann         ,   37 ,2490 ,   22 ,14.709659114480019     ,      1 , 2.6077212067320943    ,   78 ,        23 ,           6 ,        0 ,F M S    ,Atletico Madrid                     , 22 ,14.709659114480019     ,18.479457587003708     , 4.551564801484346     ,2014
             4 , 1125 ,Carlos Bacca              ,   37 ,2581 ,   20 ,19.27924784179777      ,      6 , 4.728215850889683     ,   69 ,        31 ,           4 ,        0 ,F S      ,Sevilla                             , 14 ,13.33366437535733      ,16.08634595107287      , 2.6682418268173933    ,2014
