autoincrement2 ;match_id ;fid     ;h   ;a   ;date                ;league_id ;season ;h_goals ;a_goals ;team_h              ;team_a              ;h_xg      ;a_xg        ;h_w      ;h_d      ;h_l      ;league  ;h_shot ;a_shot ;h_shotOnTarget ;a_shotOnTarget ;h_deep ;a_deep ;a_ppda  ;h_ppda
             0 ;    5826 ; 862055 ;137 ;147 ;2014-08-23 18:00:00 ;        4 ;  2014 ;      1 ;      0 ;Malaga              ;Athletic Club       ;1.32107   ;  1.14151   ;  0.3996 ;  0.3315 ;  0.2689 ;La liga ;    12 ;    12 ;             3 ;             5 ;     4 ;     5 ; 6.3000 ;12.0714
             1 ;    5827 ; 862052 ;138 ;146 ;2014-08-23 20:00:00 ;        4 ;  2014 ;      1 ;      1 ;Sevilla             ;Valencia            ;1.17197   ;  1.74903   ;  0.1984 ;  0.2906 ;511      ;La liga ;    12 ;    11 ;             3 ;             1 ;     8 ;     4 ;10.6500 ; 9.4167
             2 ;    5828 ; 862058 ;155 ;139 ;2014-08-23 20:00:00 ;        4 ;  2014 ;      2 ;      1 ;Granada             ;Deportivo La Coruna ;0.548351  ;  0.379371  ;  0.3244 ;  0.4747 ;  0.2009 ;La liga ;    10 ;     8 ;             3 ;             1 ;     2 ;     4 ; 5.8000 ; 4.7750
             3 ;    5829 ; 862061 ;208 ;141 ;2014-08-23 22:00:00 ;        4 ;  2014 ;      1 ;      1 ;Almeria             ;Espanyol            ;0.978788  ;  0.399306  ;  0.51   ;  0.3494 ;  0.1406 ;La liga ;    19 ;    12 ;             6 ;             2 ;     5 ;     4 ;15.8000 ; 6.6667
             4 ;    5830 ; 862057 ;156 ;140 ;2014-08-24 18:00:00 ;        4 ;  2014 ;      1 ;      0 ;Eibar               ;Real Sociedad       ;0.465398  ;  0.975523  ;158      ;  0.3601 ;  0.4819 ;La liga ;    12 ;    19 ;             5 ;             4 ;     4 ;     1 ; 6.6667 ; 8.7917
