autoincrement4 ,team_id  ,title               ,year ,h_a ,xG        ,xGA       ,npxG      ,npxGA     ,deep ,deep_allowed ,scored ,missed ,xpts                  ,result ,date                ,wins ,draws ,loses ,pts ,npxGD                  ,ppda.att ,ppda.def ,ppda_allowed.att ,ppda_allowed.def
             0 ,137 ,Malaga              ,2014 ,h   ,1.32107   ,1.14151   ,0.438073  ,1.14151   ,   4 ,           5 ,     1 ,     0 ,1.5303                ,w      ,2014-08-23 18:00:00 ,   1 ,    0 ,    0 ,  3 ,-0.7034370000000001    ,     338 ,      28 ,             189 ,              30
             1 ,137 ,Malaga              ,2014 ,a   ,1.13196   ,1.96863   ,1.13196   ,1.06964   ,   4 ,           5 ,     0 ,     3 ,0.7086                ,l      ,2014-08-29 21:00:00 ,   0 ,    0 ,    1 ,  0 ,0.06232000000000015    ,     292 ,      19 ,             182 ,              30
             2 ,137 ,Malaga              ,2014 ,h   ,0.819725  ,0.358265  ,0.819725  ,0.358265  ,   7 ,           1 ,     0 ,     0 ,1.7526                ,d      ,2014-09-13 17:00:00 ,   0 ,    1 ,    0 ,  1 ,0.46146000000000004    ,     128 ,      13 ,             241 ,              27
             3 ,137 ,Malaga              ,2014 ,a   ,0.446347  ,2.76188   ,0.446347  ,2.76188   ,   6 ,           2 ,     2 ,     2 ,0.0628                ,d      ,2014-09-20 21:00:00 ,   0 ,    1 ,    0 ,  1 ,-2.3155330000000003    ,      99 ,      18 ,             264 ,              33
             4 ,137 ,Malaga              ,2014 ,h   ,0.278657  ,0.646364  ,0.278657  ,0.646364  ,   4 ,           7 ,     0 ,     0 ,0.8721                ,d      ,2014-09-24 21:00:00 ,   0 ,    1 ,    0 ,  1 ,-0.36770700000000006   ,     293 ,      31 ,              96 ,              21
